Foraging rate,Species,Movement rate,Social category,Sex,Locality,Seasonality,Weater conditions,Time of day,Flock size(Species number),Flock size(Birds number),Foraging rate flocks
18.82352941,Setophaga fusca,21.17647059,Flock,Male,Tamesis,23,50,10:00,14,23,18.82352941
15,Setophaga fusca,15,Flock,Female,Tamesis,24,,11:00,11,18,15
14.54545455,Setophaga fusca,23.63636364,Flock,Female,Tamesis,24,,10:00,11,18,14.54545455
14.28571429,Setophaga fusca,17.14285714,Flock,Female,Tamesis,24,10,9:00,26,37,14.28571429
13,Setophaga fusca,15,Flock,Male,Fredonia,13,0,15:00,4,4,13
12.85714286,Setophaga fusca,10.71428571,Flock,Female,Jerico,9,0,8:00,21,31,12.85714286
12.25806452,Setophaga fusca,16.77419355,Flock,Male,Fredonia,19,100,7:00,10,15,12.25806452
10.90909091,Setophaga fusca,10.90909091,Flock,Male,Fredonia,10,90,11:00,14,21,10.90909091
8.8,Setophaga fusca,16,Flock,Male,Fredonia,19,100,6:00,10,15,8.8
8.873239437,Setophaga fusca,16.90140845,Flock,Female,Fredonia,14,90,16:00,4,5,8.873239437
8.75,Setophaga fusca,32.5,Flock,Male,Fredonia,20,10,9:00,13,18,8.75
8.181818182,Setophaga fusca,19.09090909,Flock,Female,Fredonia,13,40,15:00,16,23,8.181818182
8,Setophaga fusca,14,Flock,Male,Jerico,6,20,11:00,30,37,8
7.692307692,Setophaga fusca,16.92307692,Flock,Female,Jerico,5,100,9:00,7,8,7.692307692
7.058823529,Setophaga fusca,16.58823529,Flock,Female,Jerico,8,0,12:00,31,41,7.058823529
7.058823529,Setophaga fusca,42.35294118,Flock,Female,Tamesis,28,60,10:00,32,55,7.058823529
6.842105263,Setophaga fusca,10,Flock,Female,Jerico,5,100,9:00,7,8,6.842105263
6.666666667,Setophaga fusca,31.66666667,Flock,Female,Fredonia,18,,16:00,,,6.666666667
6.461538462,Setophaga fusca,27.23076923,Flock,Female,Fredonia,13,0,9:00,12,20,6.461538462
6.382978723,Setophaga fusca,15.31914894,Flock,Male,Fredonia,14,0,16:00,4,5,6.382978723
6.315789474,Setophaga fusca,34.73684211,Flock,Female,Fredonia,10,90,12:00,14,21,6.315789474
6.101694915,Setophaga fusca,32.54237288,Flock,Female,Tamesis,28,60,10:00,32,55,6.101694915
6.086956522,Setophaga fusca,17.39130435,Flock,Female,Fredonia,13,40,15:00,16,23,6.086956522
6,Setophaga fusca,25,Flock,Male,Fredonia,28,100,7:00,8,17,6
6,Setophaga fusca,29,Flock,Male,Tamesis,18,40,17:00,33,53,6
5.714285714,Setophaga fusca,17.14285714,Flock,Female,Fredonia,10,100,16:00,8,9,5.714285714
5.454545455,Setophaga fusca,25.71428571,Flock,Female,Fredonia,14,0,15:00,4,5,5.454545455
5.172413793,Setophaga fusca,13.44827586,Flock,Female,Jerico,4,50,10:00,21,23,5.172413793
5.142857143,Setophaga fusca,27,Flock,Male,Jerico,5,,11:00,,,5.142857143
5.142857143,Setophaga fusca,29.14285714,Flock,Female,Jerico,6,0,15:00,12,16,5.142857143
4.925373134,Setophaga fusca,21.94029851,Flock,Female,Fredonia,19,80,12:00,10,15,4.925373134
4.8,Setophaga fusca,15.6,Flock,Male,Jerico,5,100,9:00,7,8,4.8
