species,foragingrate,movementrate,sociality,gender,locality,dayofseason,time,flocksizespecies,flocksizeind,foragingrate,movementrate,foragingrate_cont,movementrate_cont
Setophaga fusca,19,21,Flock,Male,Tamesis,23,10:00,14,23,19,21,18.82352941,21.17647059
Setophaga fusca,15,15,Flock,Female,Tamesis,24,11:00,11,18,15,15,15,15
Setophaga fusca,15,24,Flock,Female,Tamesis,24,10:00,11,18,15,24,14.54545455,23.63636364
Setophaga fusca,14,17,Flock,Female,Tamesis,24,9:00,26,37,14,17,14.28571429,17.14285714
Setophaga fusca,13,15,Flock,Male,Fredonia,13,15:00,4,4,13,15,13,15
Setophaga fusca,13,11,Flock,Female,Jerico,9,8:00,21,31,13,11,12.85714286,10.71428571
Setophaga fusca,12,17,Flock,Male,Fredonia,19,7:00,10,15,12,17,12.25806452,16.77419355
Setophaga fusca,11,11,Flock,Male,Fredonia,10,11:00,14,21,11,11,10.90909091,10.90909091
Setophaga fusca,9,16,Flock,Male,Fredonia,19,6:00,10,15,9,16,8.8,16
Setophaga fusca,9,17,Flock,Female,Fredonia,14,16:00,4,5,9,17,8.873239437,16.90140845
Setophaga fusca,9,33,Flock,Male,Fredonia,20,9:00,13,18,9,33,8.75,32.5
Setophaga fusca,8,19,Flock,Female,Fredonia,13,15:00,16,23,8,19,8.181818182,19.09090909
Setophaga fusca,8,14,Flock,Male,Jerico,6,11:00,30,37,8,14,8,14
Setophaga fusca,8,17,Flock,Female,Jerico,5,9:00,7,8,8,17,7.692307692,16.92307692
Setophaga fusca,7,17,Flock,Female,Jerico,8,12:00,31,41,7,17,7.058823529,16.58823529
Setophaga fusca,7,42,Flock,Female,Tamesis,28,10:00,32,55,7,42,7.058823529,42.35294118
Setophaga fusca,7,10,Flock,Female,Jerico,5,9:00,7,8,7,10,6.842105263,10
Setophaga fusca,7,32,Flock,Female,Fredonia,18,16:00,,,7,32,6.666666667,31.66666667
Setophaga fusca,6,27,Flock,Female,Fredonia,13,9:00,12,20,6,27,6.461538462,27.23076923
Setophaga fusca,6,15,Flock,Male,Fredonia,14,16:00,4,5,6,15,6.382978723,15.31914894
Setophaga fusca,6,35,Flock,Female,Fredonia,10,12:00,14,21,6,35,6.315789474,34.73684211
Setophaga fusca,6,33,Flock,Female,Tamesis,28,10:00,32,55,6,33,6.101694915,32.54237288
Setophaga fusca,6,17,Flock,Female,Fredonia,13,15:00,16,23,6,17,6.086956522,17.39130435
Setophaga fusca,6,25,Flock,Male,Fredonia,28,7:00,8,17,6,25,6,25
Setophaga fusca,6,29,Flock,Male,Tamesis,18,17:00,33,53,6,29,6,29
Setophaga fusca,6,17,Flock,Female,Fredonia,10,16:00,8,9,6,17,5.714285714,17.14285714
Setophaga fusca,5,26,Flock,Female,Fredonia,14,15:00,4,5,5,26,5.454545455,25.71428571
Setophaga fusca,5,13,Flock,Female,Jerico,4,10:00,21,23,5,13,5.172413793,13.44827586
Setophaga fusca,5,27,Flock,Male,Jerico,5,11:00,,,5,27,5.142857143,27
Setophaga fusca,5,29,Flock,Female,Jerico,6,15:00,12,16,5,29,5.142857143,29.14285714
Setophaga fusca,5,22,Flock,Female,Fredonia,19,12:00,10,15,5,22,4.925373134,21.94029851
Setophaga fusca,5,16,Flock,Male,Jerico,5,9:00,7,8,5,16,4.8,15.6
Setophaga fusca,5,17,Flock,Female,Jerico,3,7:00,9,10,5,17,4.615384615,16.92307692
Setophaga fusca,4,21,Flock,Female,Jerico,5,17:00,3,3,4,21,4.242424242,20.60606061
Setophaga fusca,4,19,Flock,Male,Fredonia,17,9:00,15,33,4,19,4.137931034,19.31034483
Setophaga fusca,4,24,Flock,Female,Fredonia,6,10:00,15,21,4,24,4,24
Setophaga fusca,4,20,Flock,Male,Jerico,11,11:00,30,37,4,20,4,20
Setophaga fusca,4,27,Flock,Male,Fredonia,12,12:00,9,12,4,27,3.870967742,27.09677419
Setophaga fusca,4,43,Flock,Male,Fredonia,13,8:00,26,37,4,43,3.870967742,42.58064516
Setophaga fusca,4,27,Flock,Male,Tamesis,28,11:00,32,55,4,27,3.80952381,26.66666667
Setophaga fusca,4,22,Flock,Female,Jerico,10,12:00,,,4,22,3.673469388,22.04081633
Setophaga fusca,4,21,Flock,Male,Fredonia,12,12:00,9,12,4,21,3.636363636,20.60606061
Setophaga fusca,3,28,Solitary,Male,Otros,36,10:00,1,1,3,28,3.428571429,27.85714286
Setophaga fusca,3,32,Flock,Female,Jerico,7,11:00,11,22,3,32,3.157894737,31.57894737
Setophaga fusca,3,25,Flock,Male,Jerico,3,9:00,13,14,3,25,3.050847458,25.42372881
Setophaga fusca,3,33,Flock,Male,Fredonia,10,8:00,12,13,3,33,3,33
Setophaga fusca,3,18,Flock,Male,Jerico,8,8:00,15,27,3,18,3,18
Setophaga fusca,3,24,Flock,Female,Fredonia,12,12:00,9,12,3,24,2.957746479,23.66197183
Setophaga fusca,3,24,Solitary,Female,Jerico,6,7:00,1,1,3,24,2.916666667,23.75
Setophaga fusca,3,22,Flock,Male,Jerico,9,7:00,8,17,3,22,2.790697674,22.3255814
Setophaga fusca,3,29,Flock,Female,Fredonia,21,7:00,7,9,3,29,2.727272727,28.63636364
Setophaga fusca,3,27,Flock,Male,Fredonia,22,6:00,10,17,3,27,2.706766917,26.61654135
Setophaga fusca,3,18,Solitary,Female,Fredonia,13,15:00,1,1,3,18,2.666666667,18
Setophaga fusca,3,29,Flock,Male,Fredonia,12,12:00,9,12,3,29,2.647058824,29.11764706
Setophaga fusca,3,27,Solitary,Female,Tamesis,,8:00,1,1,3,27,2.608695652,27.20496894
Setophaga fusca,2,15,Solitary,Male,Fredonia,14,7:00,1,1,2,15,2.432432432,14.59459459
Setophaga fusca,2,30,Flock,Male,Jerico,7,11:00,11,22,2,30,2.222222222,30
Setophaga fusca,2,25,Flock,Female,Jerico,7,11:00,11,22,2,25,2.181818182,25.09090909
Setophaga fusca,2,18,Flock,Male,Jerico,9,8:00,21,31,2,18,2.162162162,18.37837838
Setophaga fusca,2,24,Flock,Male,Jerico,6,17:00,12,15,2,24,2.033898305,24.40677966
Setophaga fusca,2,35,Solitary,Male,Otros,36,10:00,1,1,2,35,2.013422819,35.43624161
Setophaga fusca,2,35,Flock,Male,Jerico,5,11:00,,,2,35,1.923076923,34.80769231
Setophaga fusca,2,27,Flock,Male,Jerico,4,17:00,,,2,27,1.818181818,27.27272727
Setophaga fusca,2,28,Flock,Female,Fredonia,10,9:00,13,20,2,28,1.764705882,28.23529412
Setophaga fusca,2,23,Flock,Female,Fredonia,12,16:00,1,1,2,23,1.714285714,23.14285714
Setophaga fusca,2,36,Flock,Female,Fredonia,12,9:00,10,15,2,36,1.714285714,36
Setophaga fusca,2,26,Solitary,Female,Fredonia,11,12:00,1,1,2,26,1.714285714,25.71428571
Setophaga fusca,2,25,Solitary,Female,Fredonia,11,12:00,1,1,2,25,1.690140845,25.35211268
Setophaga fusca,1,31,Flock,Female,Tamesis,26,10:00,14,20,1,31,1.411764706,31.05882353
Setophaga fusca,1,21,Flock,Female,Jerico,4,8:00,4,4,1,21,1.333333333,20.66666667
Setophaga fusca,1,40,Flock,Male,Fredonia,19,14:00,8,17,1,40,1.176470588,40
Setophaga fusca,1,25,Solitary,Male,Tamesis,25,17:00,1,1,1,25,1.011235955,24.60674157
Setophaga fusca,1,33,Solitary,Male,Otros,34,11:00,1,1,1,33,0.983606557,33.44262295
Setophaga fusca,1,22,Solitary,Female,Tamesis,28,17:00,1,1,1,22,0.9375,21.5625
Setophaga fusca,1,19,Flock,Male,Jerico,9,9:00,9,12,1,19,0.779220779,19.48051948
Setophaga fusca,1,29,Solitary,Female,Jerico,7,10:00,1,2,1,29,0.612244898,28.7755102
Setophaga fusca,0,19,Flock,Male,Fredonia,14,16:00,8,9,0,19,0,19.09090909
Setophaga fusca,0,23,Solitary,Female,Fredonia,10,7:00,1,1,0,23,0,22.66666667
Setophaga fusca,0,26,Flock,Female,Jerico,7,8:00,21,30,0,26,0,26.47058824
Setophaga fusca,0,25,Solitary,Male,Jerico,8,15:00,1,2,0,25,0,24.70588235
Setophaga fusca,1,23,Solitary,Female,Fredonia,10,13:00,9,12,1,23,1.4318,22.71
Setophaga fusca,1,22,Solitary,Female,Fredonia,10,11:00,1,1,1,22,1.3954,22.12676056
Setophaga fusca,1,22,Solitary,Male,Tamesis,24,16:00,1,1,1,22,0.776783534,21.74157303
Setophaga fusca,2,30,Solitary,Male,Otros,33,10:00,1,1,2,30,1.683606557,30.44262295
Setophaga fusca,1,19,Solitary,Female,Tamesis,27,16:00,1,1,1,19,0.63357,18.625
Setophaga fusca,1,19,Flock,Male,Jerico,8,8:00,,,1,19,0.579220779,19.48051948
Setophaga fusca,1,26,Solitary,Female,Jerico,6,9:00,1,2,1,26,0.612244898,25.7755102
Setophaga fusca,1,19,Flock,Male,Fredonia,13,15:00,8,9,1,19,1,19.09090909
Setophaga fusca,0,22,Solitary,Female,Fredonia,9,7:00,1,1,0,22,0,21.66666667
Setophaga fusca,1,26,Flock,Female,Jerico,6,8:00,21,30,1,26,1,26.47055294
Setophaga fusca,4,22,Solitary,Male,Jerico,7,15:00,1,2,4,22,4,22.23529412
Setophaga fusca,2,28,Solitary,Male,Fredonia,10,13:00,1,1,2,28,2.12,27.714
Setophaga fusca,2,23,Solitary,Male,Fredonia,11,13:00,1,1,2,23,1.8925,23.35211268
Setophaga fusca,1,28,Solitary,Female,Tamesis,26,16:00,1,1,1,28,1.354,27.6
Setophaga fusca,1,36,Solitary,Female,Otros,35,10:00,1,1,1,36,1.183606557,36.44262295
Setophaga fusca,3,25,Solitary,Male,Tamesis,29,16:00,1,1,3,25,3.23454,24.625
Setophaga fusca,2,32,Solitary,Male,Jerico,8,11:00,1,2,2,32,1.912244898,31.755116
Setophaga fusca,0,26,Solitary,Male,Fredonia,11,6:00,1,1,0,26,0,25.56732
Setophaga fusca,2,28,Solitary,Female,Jerico,9,16:00,1,2,2,28,2,27.568721
Setophaga fusca,3,28,Solitary,Female,Jerico,9,16:00,1,2,3,28,3,27.568721
Setophaga fusca,2,28,Solitary,Female,Jerico,9,16:00,1,2,2,28,1.6,27.568721
