,species,foragingRate,movementRate,sociality,gender,locality,dayofseason,flocksizespecies,flocksizeind,indspecies,capture,second,minutes,capture,movement,foragingRate
,Cardelina canadensis,12.35294118,17.64705882,Flock,Male,Tamesis,39,20,26,1,14,68,1.133333333,14,20,12.35294118
,Cardelina canadensis,11.57894737,17.89473684,Flock,Female,Fredonia,9,14,21,2,11,57,0.95,11,17,11.57894737
,Cardelina canadensis,11.29,17.64705882,Flock,Male,Tamesis,40,21,27,,10,54,0.9,10,,11.29
,Cardelina canadensis,10.89,17.89473684,Flock,Female,Fredonia,35,15,22,,15,83,1.383333333,15,,10.89
,Cardelina canadensis,8,20,Flock,Male,Jerico,6,11,22,2,2,15,0.25,2,,8
,Cardelina canadensis,7,20,Flock,Male,Jerico,7,12,23,,7,60,1,7,,7
,Cardelina canadensis,6.206896552,27.93103448,Flock,Female,Jerico,6,21,30,1,6,58,0.966666667,6,27,6.206896552
,Cardelina canadensis,5.2,27.93103448,Flock,Female,Jerico,7,22,31,,10,116,1.933333333,10,,5.2
,Cardelina canadensis,4.615384615,13.84615385,Flock,Female,Fredonia,40,15,20,1,2,26,0.433333333,2,,4.615384615
,Cardelina canadensis,4,21,Flock,Female,Jerico,80,4,5,,4,60,1,4,,4
,Cardelina canadensis,3.947368421,28.94736842,Flock,Male,Jerico,81,7,8,1,15,228,3.8,15,,3.947368421
,Cardelina canadensis,3.703703704,40,Flock,Female,Tamesis,35,32,55,1,5,81,1.35,5,,3.703703704
,Cardelina canadensis,3.608695652,16.63043478,Flock,Female,Jerico,5,13,19,,4,67,1.116666667,4,,3.608695652
,Cardelina canadensis,3.53,13.84615385,Flock,Female,Fredonia,40,16,21,,5,85,1.416666667,5,,3.53
,Cardelina canadensis,3.5,30.3125,Flock,Male,Otros,57,4,3,,3,52,0.866666667,3,,3.5
,Cardelina canadensis,3.333333333,25,Flock,Male,Fredonia,13,14,21,1,3,54,0.9,3,,3.333333333
,Cardelina canadensis,3.333333333,27.77777778,Flock,Male,Fredonia,9,4,6,2,2,36,0.6,2,,3.333333333
,Cardelina canadensis,3.333333333,28.33333333,Flock,Male,Tamesis,35,9,15,2,2,36,0.6,2,,3.333333333
,Cardelina canadensis,3.20855615,26.63101604,Flock,Female,Jerico,4,14,18,1,10,187,3.116666667,10,,3.20855615
,Cardelina canadensis,3.157894737,16.31578947,Flock,Male,Jerico,2,4,4,1,6,114,1.9,6,,3.157894737
,Cardelina canadensis,3.142857143,24.64285714,Flock,Male,Jerico,81,14,22,,6,115,1.916666667,6,,3.142857143
,Cardelina canadensis,3.093023256,30,Flock,Female,Jerico,16,5,6,,2,39,0.65,2,,3.093023256
,Cardelina canadensis,3.076923077,25.38461538,Flock,Male,Fredonia,12,27,37,1,4,78,1.3,4,,3.076923077
,Cardelina canadensis,3,21,Flock,Female,Jerico,80,5,5,1,1,20,0.333333333,1,,3
,Cardelina canadensis,2.73,28.94736842,Flock,Male,Jerico,81,8,9,,4,88,1.466666667,4,,2.73
,Cardelina canadensis,2.705882353,17.64705882,Flock,Male,Fredonia,15,12,18,,3,67,1.116666667,3,,2.705882353
,Cardelina canadensis,2.7003,40,Flock,Female,Tamesis,36,33,54,,4,89,1.483333333,4,,2.7003
,Cardelina canadensis,2.69,25.38461538,Flock,Male,Fredonia,9,26,37,,4,90,1.5,4,,2.69
,Cardelina canadensis,2.647058824,17.64705882,Flock,Male,Fredonia,14,13,19,1,3,68,1.133333333,3,,2.647058824
,Cardelina canadensis,2.608695652,16.63043478,Flock,Female,Jerico,4,14,18,1,8,184,3.066666667,8,,2.608695652
a,Cardelina canadensis,2.5,30.3125,Flock,Male,Otros,82,3,3,1,8,192,3.2,8,,2.5
a,Cardelina canadensis,2.33,25,Flock,Female,Fredonia,40,15,22,,3,78,1.3,3,,2.33
a,Cardelina canadensis,2.33,27.77777778,Flock,Male,Fredonia,14,5,7,,2,52,0.866666667,2,,2.33
a,Cardelina canadensis,2.33,28.33333333,Flock,Male,Tamesis,18,10,18,,3,78,1.3,3,,2.33
a,Cardelina canadensis,2.2,26.63101604,Flock,Female,Jerico,5,13,19,,2,55,0.916666667,2,,2.2
a,Cardelina canadensis,2.15,16.31578947,Flock,Male,Jerico,3,4,5,,2,56,0.933333333,2,,2.15
a,Cardelina canadensis,2.142857143,24.64285714,Flock,Male,Jerico,80,13,21,2,2,56,0.933333333,2,,2.142857143
a,Cardelina canadensis,2.111111111,37.77777778,Flock,Male,Tamesis,33,23,30,,2,57,0.95,2,,2.111111111
a,Cardelina canadensis,2.093023256,30,Flock,Female,Jerico,80,5,6,1,3,86,1.433333333,3,,2.093023256
a,Cardelina canadensis,1.111111111,37.77777778,Flock,Male,Tamesis,32,22,31,2,1,54,0.9,1,,1.111111111
a,Cardelina canadensis,1,24.12371134,Solitary,Male,Fredonia,9,1,1,,1,60,1,1,,1
a,Cardelina canadensis,0.8,24.12371134,Solitary,Male,Fredonia,12,1,1,,1,75,1.25,1,,0.8
a,Cardelina canadensis,0.78556701,24.12371134,Solitary,Male,Fredonia,40,1,1,,1,76,1.266666667,1,,0.78556701
a,Cardelina canadensis,0.7,27.42857143,Solitary,Female,Otros,57,1,1,,1,86,1.433333333,1,,0.7
a,Cardelina canadensis,0.680327869,47.21311475,Solitary,Male,Tamesis,35,1,1,,1,89,1.483333333,1,,0.680327869
a,Cardelina canadensis,0.630327869,47.21311475,Solitary,Male,Tamesis,34,1,1,,1,96,1.6,1,,0.630327869
a,Cardelina canadensis,0.618556701,24.12371134,Solitary,Male,Fredonia,11,1,1,,2,194,3.233333333,2,,0.618556701
a,Cardelina canadensis,0.580327869,47.21311475,Solitary,Male,Tamesis,34,1,1,,1,104,1.733333333,1,,0.580327869
a,Cardelina canadensis,0.52173913,16.69565217,Flock,Female,Jerico,1,7,7,1,1,115,1.916666667,1,,0.52173913
a,Cardelina canadensis,0.5,27.45762712,Solitary,Male,Jerico,34,1,1,1,4,488,8.133333333,4,,0.5
a,Cardelina canadensis,0,29.18918919,Flock,Male,Jerico,90,30,36,1,0,78,1.3,0,,0
a,Cardelina canadensis,0,27.45762712,Solitary,Male,Jerico,11,1,1,1,0,30,0.5,0,,0
a,Cardelina canadensis,0,14.4,Solitary,Male,Fredonia,40,1,1,,0,55,0.916666667,0,,0
a,Cardelina canadensis,0,36,Solitary,Male,Fredonia,28,1,1,1,0,17,0.283333333,0,,0
a,Cardelina canadensis,0,36,Solitary,Male,Fredonia,8,1,1,2,0,118,1.966666667,0,,0
a,Cardelina canadensis,0,14.4,Solitary,Male,Fredonia,8,1,1,,0,92,1.533333333,0,,0
a,Cardelina canadensis,0,39.06976744,Solitary,Male,Otros,5,1,1,1,0,37,0.616666667,0,,0
a,Cardelina canadensis,0,39.06976744,Solitary,Male,Otros,12,1,1,1,0,17,0.283333333,0,,0
a,Cardelina canadensis,0,2.647058824,Solitary,Male,Jerico,14,1,1,,0,55,0.916666667,0,,0
a,Cardelina canadensis,0,2.647058824,Solitary,Male,Jerico,15,1,1,,0,110,1.833333333,0,,0
a,Cardelina canadensis,0,18.46153846,Solitary,Male,Jerico,80,1,1,,0,56,0.933333333,0,,0
a,Cardelina canadensis,0,18.46153846,Solitary,Male,Jerico,81,1,1,,0,62,1.033333333,0,,0
a,Cardelina canadensis,0,29.6969697,Solitary,Female,Otros,69,1,1,2,0,272,4.533333333,0,,0
a,Cardelina canadensis,0,29.6969697,Solitary,Female,Otros,11,1,1,,0,100,1.666666667,0,,0
a,Cardelina canadensis,0,28.88888889,Solitary,Female,Otros,80,1,1,1,0,198,3.3,0,,0
a,Cardelina canadensis,0,28.88888889,Solitary,Female,Otros,80,1,1,1,0,54,0.9,0,,0
a,Cardelina canadensis,0,27.42857143,Solitary,Female,Otros,56,1,1,1,0,86,1.433333333,0,,0
a,Cardelina canadensis,0,28.88888889,Solitary,Female,Otros,80,1,1,1,0,70,1.166666667,0,,0
e,Hemithraupis guira,12.5,5,Solitary,Female,Fredonia,24,1,1,,4,24,0.4,4,,12.5
e,Hemithraupis guira,12.4137931,14.48275862,Flock,Male,Fredonia,10,9,12,1,11,58,0.966666667,11,,12.4137931
e,Hemithraupis guira,12.4137931,8.275862069,Flock,Female,tamesis,31,26,37,2,12,58,0.966666667,12,,12.4137931
e,Hemithraupis guira,11.37931034,14.48275862,Solitary,Male,Fredonia,10,1,1,3,11,58,0.966666667,11,,11.37931034
e,Hemithraupis guira,9.75,17.25,Flock,Male,Fredonia,26,25,35,3,13,80,1.333333333,13,,9.75
e,Hemithraupis guira,6.818181818,25.90909091,Flock,Female,tamesis,35,32,55,1,5,44,0.733333333,5,,6.818181818
e,Hemithraupis guira,6.428571429,19.28571429,Flock,Male,tamesis,36,15,27,3,2,28,0.466666667,2,,6.428571429
e,Hemithraupis guira,6.315789474,22.10526316,Flock,Male,Fredonia,23,8,13,1,4,38,0.633333333,4,,6.315789474
e,Hemithraupis guira,6,15,Flock,Male,tamesis,35,33,53,1,6,60,1,6,,6
e,Hemithraupis guira,5.753424658,21.36986301,Flock,Female,Hispania,80,,,,7,73,1.216666667,7,,5.753424658
e,Hemithraupis guira,5.263157895,13.68421053,Flock,Female,tamesis,30,14,23,4,2,57,0.95,2,,5.263157895
e,Hemithraupis guira,5.234899329,26.57718121,Flock,Male,tamesis,30,14,23,4,13,149,2.483333333,13,,5.234899329
e,Hemithraupis guira,5.070422535,14.36619718,Flock,Female,Fredonia,12,18,25,3,5,71,1.183333333,5,,5.070422535
e,Hemithraupis guira,4.8,14.4,Flock,Male,Jerico,5,11,22,2,2,25,0.416666667,2,,4.8
e,Hemithraupis guira,4.516129032,18.06451613,Flock,Female,Fredonia,26,13,18,3,6,93,1.55,6,,4.516129032
e,Hemithraupis guira,4.186046512,16.74418605,Flock,Male,Fredonia,10,9,12,1,3,43,0.716666667,3,,4.186046512
e,Hemithraupis guira,4.137931034,14.48275862,Flock,Male,Fredonia,9,6,9,1,4,58,0.966666667,4,,4.137931034
e,Hemithraupis guira,4.033613445,12.10084034,Flock,Male,Hispania,80,,,,8,119,1.983333333,8,,4.033613445
e,Hemithraupis guira,4,40,Flock,Female,tamesis,33,10,16,2,1,15,0.25,1,,4
e,Hemithraupis guira,4,9.333333333,Flock,Male,Fredonia,25,13,24,3,3,45,0.75,3,,4
e,Hemithraupis guira,3.6,22.8,Flock,Female,Fredonia,13,13,19,2,3,50,0.833333333,3,,3.6
e,Hemithraupis guira,3.157894737,12.63157895,Flock,Male,Fredonia,9,15,21,2,0,19,0.316666667,0,,3.157894737
e,Hemithraupis guira,3,13.5,Flock,Male,Fredonia,25,13,24,3,2,40,0.666666667,2,,3
e,Hemithraupis guira,2.666666667,25.33333333,Flock,Male,Fredonia,22,16,23,3,1,45,0.75,1,,2.666666667
e,Hemithraupis guira,2.608695652,18.26086957,Flock,Male,Fredonia,27,15,22,4,2,46,0.766666667,2,,2.608695652
e,Hemithraupis guira,2.553191489,8.936170213,Flock,Female,tamesis,33,5,5,1,1,47,0.783333333,1,,2.553191489
e,Hemithraupis guira,2.448979592,15.91836735,Flock,Male,Jerico,5,11,22,2,2,49,0.816666667,2,,2.448979592
e,Hemithraupis guira,2,19,Flock,Female,tamesis,30,14,23,4,4,120,2,4,,2
e,Hemithraupis guira,1.875,15,Flock,Female,Fredonia,12,18,25,3,1,32,0.533333333,1,,1.875
e,Hemithraupis guira,1.785714286,19.28571429,Solitary,Female,Jardin,26,1,1,2,5,168,2.8,5,,1.785714286
e,Hemithraupis guira,1.714285714,5.142857143,Flock,Male,Jerico,7,17,20,1,0,35,0.583333333,0,,1.714285714
e,Hemithraupis guira,1.6,14.4,Flock,Male,Fredonia,8,8,9,1,2,75,1.25,2,,1.6
e,Hemithraupis guira,1.374045802,14.65648855,Flock,Male,Fredonia,25,10,15,3,3,131,2.183333333,3,,1.374045802
e,Hemithraupis guira,1.224489796,14.69387755,Flock,Female,Jerico,4,,,1,1,49,0.816666667,1,,1.224489796
e,Hemithraupis guira,1.224489796,21.42857143,Flock,Male,Fredonia,26,25,35,3,2,98,1.633333333,2,,1.224489796
e,Hemithraupis guira,1.224489796,24.08163265,Flock,Female,Fredonia,25,13,24,3,1,147,2.45,1,,1.224489796
e,Hemithraupis guira,1.132075472,19.24528302,Flock,Male,Fredonia,27,15,22,4,1,53,0.883333333,1,,1.132075472
e,Hemithraupis guira,0.759493671,18.98734177,Flock,Male,tamesis,30,24,23,4,1,79,1.316666667,1,,0.759493671
e,Hemithraupis guira,0.582524272,16.31067961,Flock,Male,Jerico,1,21,23,1,1,103,1.716666667,1,,0.582524272
e,Hemithraupis guira,0,12,Flock,Male,Fredonia,9,6,9,1,0,40,0.666666667,0,,0
e,Hemithraupis guira,0,12,Flock,Male,Fredonia,8,14,21,1,0,20,0.333333333,0,,0
e,Hemithraupis guira,0,12,Flock,Male,Fredonia,9,11,12,1,0,20,0.333333333,0,,0
e,Hemithraupis guira,0,24,Flock,Female,Jerico,33,14,18,1,0,15,0.25,0,,0
e,Hemithraupis guira,0,39.41176471,Solitary,,Jardin,53,1,1,2,0,102,1.7,0,,0
f,Oreothlypis peregrina,29.5,11,Flock,NA,fredonia,27,25,35,3,59,120,2,59,,29.5
f,Oreothlypis peregrina,21.3559322,9.152542373,Flock,NA,Tamesis,38,27,38,3,42,118,1.966666667,42,,21.3559322
f,Oreothlypis peregrina,21.33333333,15.33333333,Flock,NA,Tamesis,38,27,38,3,32,90,1.5,32,,21.33333333
f,Oreothlypis peregrina,20,12,Flock,NA,Fredonia,23,4,5,2,10,30,0.5,10,,20
f,Oreothlypis peregrina,19.43661972,11.83098592,Flock,NA,Fredonia,25,10,15,4,23,71,1.183333333,23,,19.43661972
f,Oreothlypis peregrina,14.54545455,3.636363636,Flock,NA,Fredonia,25,13,24,6,8,33,0.55,8,,14.54545455
f,Oreothlypis peregrina,14.11764706,15,Flock,NA,Tamesis,36,32,55,6,16,68,1.133333333,16,,14.11764706
f,Oreothlypis peregrina,13.77777778,20,Flock,NA,Fredonia,12,4,5,1,31,135,2.25,31,,13.77777778
f,Oreothlypis peregrina,13.7704918,23.60655738,Flock,NA,Tamesis,79,16,21,1,28,122,2.033333333,28,,13.7704918
f,Oreothlypis peregrina,12.61146497,19.10828025,Flock,NA,Fredonia,25,18,30,5,33,157,2.616666667,33,,12.61146497
f,Oreothlypis peregrina,12,16,Flock,NA,Fredonia,12,4,4,1,3,15,0.25,3,,12
f,Oreothlypis peregrina,10.83333333,28.33333333,Flock,NA,Fredonia,26,25,35,3,13,72,1.2,13,,10.83333333
f,Oreothlypis peregrina,9.473684211,18.94736842,Flock,NA,Fredonia,12,17,27,3,3,19,0.316666667,3,,9.473684211
f,Oreothlypis peregrina,8.888888889,13.33333333,Flock,NA,Jerico,1,13,14,1,4,27,0.45,4,,8.888888889
f,Oreothlypis peregrina,7.5,9,Flock,NA,Tamesis,38,9,15,1,5,40,0.666666667,5,,7.5
f,Oreothlypis peregrina,7.5,27.5,Flock,NA,Fredonia,24,15,33,5,11,88,1.466666667,11,,7.5
f,Oreothlypis peregrina,7.5,19.77272727,Flock,NA,Fredonia,24,15,33,5,3,24,0.4,3,,7.5
f,Oreothlypis peregrina,6.923076923,27.69230769,Flock,NA,Tamesis,30,14,23,2,3,26,0.433333333,3,,6.923076923
f,Oreothlypis peregrina,6.666666667,15,Flock,NA,Fredonia,10,10,15,3,4,36,0.6,4,,6.666666667
f,Oreothlypis peregrina,6.371681416,20.7079646,Flock,NA,Tamesis,30,14,23,2,12,113,1.883333333,12,,6.371681416
f,Oreothlypis peregrina,6,27,Flock,NA,Tamesis,36,32,55,6,2,20,0.333333333,2,,6
f,Oreothlypis peregrina,5.853658537,38.04878049,Flock,NA,Tamesis,34,14,20,1,4,41,0.683333333,4,,5.853658537
f,Oreothlypis peregrina,5.714285714,28.57142857,Flock,NA,Fredonia,25,10,15,4,10,105,1.75,10,,5.714285714
f,Oreothlypis peregrina,4.363636364,22.90909091,Flock,NA,Jerico,4,30,36,1,4,55,0.916666667,4,,4.363636364
f,Oreothlypis peregrina,4.077669903,16.89320388,Flock,NA,Fredonia,12,4,5,1,7,103,1.716666667,7,,4.077669903
