species,context,maneuver,frequency,proportion,
Sethophaga cerulea,flock,GL,562,0.859327217,
Sethophaga cerulea,flock,HG,48,0.073394495,
Sethophaga cerulea,flock,SS,20,0.03058104,
Sethophaga cerulea,flock,SH,11,0.016819572,
Sethophaga cerulea,flock,SP,0,0,
Sethophaga cerulea,flock,SA,1,0.001529052,
Sethophaga cerulea,flock,FC,3,0.004587156,
Sethophaga cerulea,flock,FP,9,0.013761468,
,,,,,
,,,,,
,,,,,
Sethophaga cerulea,flock,green leave,452,0.705148206,70.51
Sethophaga cerulea,flock,dead leave,13,0.020280811,2.03
Sethophaga cerulea,flock,branch,141,0.219968799,22
Sethophaga cerulea,flock,flower,18,0.028081123,2.81
Sethophaga cerulea,flock,apical,17,0.026521061,2.65
