species,context,maneuver,frequency,proportion,percentage
Migrant Setophaga fusca,flock,GL,318,0.801007557,80.1
Migrant Setophaga fusca,flock,HG,10,0.025188917,2.52
Migrant Setophaga fusca,flock,SS,26,0.065491184,6.55
Migrant Setophaga fusca,flock,SH,10,0.025188917,2.52
Migrant Setophaga fusca,flock,SP,0,0,0
Migrant Setophaga fusca,flock,SA,12,0.0302267,3.02
Migrant Setophaga fusca,flock,SFC,13,0.032745592,3.27
Migrant Setophaga fusca,flock,SFP,8,0.020151134,2.02
Migrant Setophaga fusca,solitary,GL,50,0.724637681,72.46
Migrant Setophaga fusca,solitary,HG,2,0.028985507,2.9
Migrant Setophaga fusca,solitary,SS,9,0.130434783,13.04
Migrant Setophaga fusca,solitary,SH,5,0.072463768,7.25
Migrant Setophaga fusca,solitary,SP,0,0,0
Migrant Setophaga fusca,solitary,SA,0,0,0
Migrant Setophaga fusca,solitary,SFC,0,0,0
Migrant Setophaga fusca,solitary,SFP,3,0.043478261,4.35
Migrant Oreothlypis peregrina,flock,GL,412,0.911504425,91.15
Migrant Oreothlypis peregrina,flock,HG,34,0.075221239,7.52
Migrant Oreothlypis peregrina,flock,SS,1,0.002212389,0.22
Migrant Oreothlypis peregrina,flock,SH,4,0.008849558,0.88
Migrant Oreothlypis peregrina,flock,SP,0,0,0
Migrant Oreothlypis peregrina,flock,SA,0,0,0
Migrant Oreothlypis peregrina,flock,SFC,0,0,0
Migrant Oreothlypis peregrina,flock,SFP,1,0.002212389,0.22
Migrant Oreothlypis peregrina,solitary,GL,32,0.842105263,84.21
Migrant Oreothlypis peregrina,solitary,HG,6,0.157894737,15.79
Migrant Oreothlypis peregrina,solitary,SS,0,0,0
Migrant Oreothlypis peregrina,solitary,SH,0,0,0
Migrant Oreothlypis peregrina,solitary,SP,0,0,0
Migrant Oreothlypis peregrina,solitary,SA,0,0,0
Migrant Oreothlypis peregrina,solitary,SFC,0,0,0
Migrant Oreothlypis peregrina,solitary,SFP,0,0,0
Migrant Cardellina canadensis,flock,GL,63,0.577981651,57.8
Migrant Cardellina canadensis,flock,HG,0,0,0
Migrant Cardellina canadensis,flock,SS,26,0.23853211,23.85
Migrant Cardellina canadensis,flock,SH,9,0.082568807,8.26
Migrant Cardellina canadensis,flock,SP,0,0,0
Migrant Cardellina canadensis,flock,SA,5,0.04587156,4.59
Migrant Cardellina canadensis,flock,SFC,1,0.009174312,0.92
Migrant Cardellina canadensis,flock,SFP,5,0.04587156,4.59
Migrant Cardellina canadensis,solitary,GL,4,0.666666667,66.67
Migrant Cardellina canadensis,solitary,HG,0,0,0
Migrant Cardellina canadensis,solitary,SS,0,0,0
Migrant Cardellina canadensis,solitary,SH,0,0,0
Migrant Cardellina canadensis,solitary,SP,0,0,0
Migrant Cardellina canadensis,solitary,SA,0,0,0
